M + R -> Pn; 2.2e+04
M + Pn -> Pn; 2.2e+04
2 R -> 2 D; 2.5e+09
Pn + R -> D + PnD; 1e+08
2 Pn -> 2 PnD; 1e+07
2 Pn -> PnDPn; 1e+08
CuI + RX -> CuII + R; 6
CuII + R -> CuI + RX; 1e+08
CuI + PnX -> CuII + Pn; 6
CuII + Pn -> CuI + PnX; 1e+08
D:,dy_0/dt = 100000000.0*y_2*y_5 + 5000000000.0*y_5**2
M:,dy_1/dt = -22000*y_1*y_2 - 22000*y_1*y_5
Pn:,dy_2/dt = 22000*y_1*y_5 - 220000000.0*y_2**2 - 100000000.0*y_2*y_5 - 100000000.0*y_2*y_7 + 6*y_6*y_8
PnD:,dy_3/dt = 20000000.0*y_2**2 + 100000000.0*y_2*y_5
PnDPn:,dy_4/dt = 100000000.0*y_2**2
R:,dy_5/dt = -22000*y_1*y_5 - 100000000.0*y_2*y_5 - 5000000000.0*y_5**2 - 100000000.0*y_5*y_7 + 6*y_6*y_9
CuI:,dy_6/dt = 100000000.0*y_2*y_7 + 100000000.0*y_5*y_7 - 6*y_6*y_8 - 6*y_6*y_9
CuII:,dy_7/dt = -100000000.0*y_2*y_7 - 100000000.0*y_5*y_7 + 6*y_6*y_8 + 6*y_6*y_9
PnX:,dy_8/dt = 100000000.0*y_2*y_7 - 6*y_6*y_8
RX:,dy_9/dt = 100000000.0*y_5*y_7 - 6*y_6*y_9
M1_Pn:,dy_10/dt = 22000*y_1*y_2 + 22000*y_1*y_5 - 220000000.0*y_10*y_2 - 100000000.0*y_10*y_5 - 100000000.0*y_10*y_7 + 6*y_14*y_6
M1_PnD:,dy_11/dt = 20000000.0*y_10*y_2 + 100000000.0*y_10*y_5
M1_PnDPn:,dy_12/dt = 200000000.0*y_10*y_2
M2_total:,dy_13/dt = 44000*y_1*y_10 + 22000*y_1*y_2 + 22000*y_1*y_5 + 200000000.0*y_10**2
M1_PnX:,dy_14/dt = 100000000.0*y_10*y_7 - 6*y_14*y_6
time (s),D,M,Pn,PnD,PnDPn,R,CuI,CuII,PnX,RX,M1_Pn,M1_PnD,M1_PnDPn,M2_total,M1_PnX,conversion,ln([M]0/[M]),Mn,Mw/Mn,Tmol% (%)
5.428675439323859,3.983796313668761e-08,5.498807952517608,6.270417501993264e-10,4.3917696708201334e-10,2.0177683563464617e-10,1.1878673853620327e-09,0.002749957504397087,0.002500042495602913,0.0007916769493444388,0.026708280555052664,9.568821027172165e-10,6.611079714526696e-10,6.075944939594141e-10,0.002397485518234082,0.001192045256804383,0.0002167359058894324,0.0002167593965100399,129.6276258603241,1.335726611802255,0.00014792979554559607
6.551285568595508,4.779439389553401e-08,5.498561482574218,6.341723833719366e-10,5.3194494135503e-10,2.464199784140675e-10,1.180725262940725e-09,0.0027499493659235573,0.0025000506340764426,0.0009525076386662951,0.026547441727257277,9.731001801303813e-10,8.030656606005751e-10,7.442255232003294e-10,0.002906053719172095,0.0014385149053871287,0.00026154862286938266,0.00026158283267565185,130.0165757260266,1.337650003366653,0.0001775242865226079
7.906043210907698,5.7271170346118036e-08,5.498264061234806,6.427201707347319e-10,6.447446723204564e-10,3.0164339627875963e-10,1.1721637815251373e-09,0.0027499396659142338,0.002500060334085766,0.0011453003466624285,0.026354639319251822,9.926707995836975e-10,9.767184429449572e-10,9.14257899640942e-10,0.00352562266845811,0.0017359358815435368,0.0003156252300352042,0.0003156750501613131,130.4869603620786,1.3399451517367578,0.00021279709749453095
9.54095476349994,6.852829917632686e-08,5.497905159738002,6.529525940973883e-10,7.820752257748424e-10,3.7026237930912094e-10,1.161915077718109e-09,0.0027499281342331637,0.0025000718657668362,0.0013760869361222564,0.026123841198110922,1.0162866853326104e-09,1.1896479785739923e-09,1.1270468044196082e-09,0.004281806709490101,0.0020948369290136595,0.0003808800476360442,0.00038095260086459543,131.05608143433966,1.3426773892928061,0.000254730542402618
11.513953993264469,8.185665845736495e-08,5.497472075494966,6.651812397531774e-10,9.495069336353287e-10,4.559687867099311e-10,1.1496671359531184e-09,0.0027499144670486554,0.0025000855329513445,0.0016518934355305415,0.02584802103151813,1.0447835635099285e-09,1.4514431208331435e-09,1.395071873020628e-09,0.005206729902973066,0.002527920613732489,0.0004596226372789144,0.0004597282961399788,131.7450285585299,1.3459205415614552,0.0003044294653251642
13.894954943731374,9.757533570601356e-08,5.496949484106436,6.797661463271065e-10,1.1539513981239872e-09,5.636521857705037e-10,1.135059443063406e-09,0.0027498983285829297,0.00250010167141707,0.001980837811334497,0.02551906051724845,1.0791696246654619e-09,1.7742939311113581e-09,1.7351794959957198e-09,0.006340924827608406,0.0030505113049181594,0.000554639253375329,0.0005547931226233548,132.57955493984264,1.3497566118885684,0.0003631148780933766
16.768329368110074,1.1602517143019533e-07,5.4963188994326195,6.971191129345108e-10,1.4039999725665801e-09,6.998530994676319e-10,1.1176796874024573e-09,0.0027498793563235924,0.0025001206436764075,0.002372204165835893,0.025127675190487718,1.120661031002898e-09,2.173775935243735e-09,2.170389233462185e-09,0.007735875604698484,0.003681095102551369,0.0006692910122509943,0.0006695150874672284,133.59118840806593,1.3542744640580866,0.000432105009460717
20.235896477251565,1.375570711471995e-07,5.495558023004582,7.177050633083418e-10,1.7103411584073987e-09,8.734094165964249e-10,1.0970624086946851e-09,0.0027498571710013837,0.002500142828998616,0.0028364728955664153,0.024663384275434984,1.170724699782954e-09,2.669882356807062e-09,2.7325516871441014e-09,0.009457452678829798,0.004441970422256006,0.0008076321809850577,0.0008079584915594476,134.81861752867962,1.3595672993359453,0.000512779022322908
24.42053094548651,1.6251306938667293e-07,5.494639960334227,7.420401381095443e-10,2.0862692134322074e-09,1.0963799579122966e-09,1.0726909289793732e-09,0.0027498313931704123,0.0025001686068295875,0.003385276800951127,0.024114554592219298,1.231129838395824e-09,3.288380153382928e-09,3.4662879246812854e-09,0.011590589908503231,0.005360031679972367,0.000974552666504248,0.0009750278517078682,136.3094680247327,1.3657280255559543,0.0006065167218761082
29.4705170255181,1.9119804091070232e-07,5.493532277227686,7.706847144995578e-10,2.5482892681480067e-09,1.3853669675349117e-09,1.0440043681762875e-09,0.0027498016682467995,0.0025001983317532003,0.004031242444070015,0.0234685592241768,1.3040100010711874e-09,4.06258001117631e-09,4.4348763212422595e-09,0.01424570220143451,0.006467712970843663,0.0011759495949661414,0.0011766415662265019,138.12257918445277,1.3728417983029997,0.0007146075058688006
